GeneA,GeneB,Score
GENE_0069,GENE_0008,0.907
GENE_0036,GENE_0071,0.604
GENE_0073,GENE_0016,0.783
GENE_0043,GENE_0052,0.703
GENE_0068,GENE_0097,0.697
GENE_0044,GENE_0082,0.562
GENE_0026,GENE_0007,0.314
GENE_0085,GENE_0052,0.679
GENE_0032,GENE_0093,0.735
GENE_0088,GENE_0045,0.327
GENE_0070,GENE_0055,0.545
GENE_0069,GENE_0018,0.753
GENE_0015,GENE_0067,0.431
GENE_0026,GENE_0073,0.793
GENE_0093,GENE_0072,0.517
GENE_0084,GENE_0094,0.593
GENE_0030,GENE_0040,0.946
GENE_0065,GENE_0006,0.606
GENE_0053,GENE_0056,0.986
GENE_0018,GENE_0016,0.567
GENE_0027,GENE_0100,0.435
GENE_0007,GENE_0100,0.738
GENE_0035,GENE_0047,0.393
GENE_0050,GENE_0011,0.575
GENE_0050,GENE_0006,0.502
GENE_0035,GENE_0032,0.678
GENE_0087,GENE_0020,0.56
GENE_0031,GENE_0024,0.485
GENE_0076,GENE_0005,0.549
GENE_0064,GENE_0020,0.831
GENE_0011,GENE_0056,0.313
GENE_0078,GENE_0067,0.765
GENE_0072,GENE_0036,0.325
GENE_0053,GENE_0029,0.849
GENE_0053,GENE_0082,0.431
GENE_0044,GENE_0021,0.715
GENE_0053,GENE_0089,0.724
GENE_0059,GENE_0099,0.493
GENE_0074,GENE_0037,0.935
GENE_0097,GENE_0020,0.569
GENE_0099,GENE_0039,0.71
GENE_0021,GENE_0077,0.764
GENE_0006,GENE_0091,0.591
GENE_0029,GENE_0056,0.35
GENE_0083,GENE_0032,0.706
GENE_0026,GENE_0067,0.737
GENE_0043,GENE_0068,0.474
GENE_0017,GENE_0089,0.384
GENE_0042,GENE_0024,0.977
GENE_0074,GENE_0064,0.743
GENE_0014,GENE_0054,0.675
GENE_0065,GENE_0022,0.612
GENE_0034,GENE_0090,0.654
GENE_0008,GENE_0041,0.439
GENE_0041,GENE_0053,0.928
GENE_0006,GENE_0099,0.816
GENE_0055,GENE_0097,0.792
GENE_0060,GENE_0100,0.38
GENE_0045,GENE_0033,0.76
GENE_0027,GENE_0028,0.996
GENE_0057,GENE_0054,0.679
GENE_0068,GENE_0057,0.357
GENE_0017,GENE_0028,0.672
GENE_0081,GENE_0064,0.593
GENE_0076,GENE_0099,0.531
GENE_0007,GENE_0086,0.753
GENE_0051,GENE_0009,0.863
GENE_0054,GENE_0093,0.988
GENE_0020,GENE_0092,0.593
GENE_0027,GENE_0048,0.632
GENE_0017,GENE_0077,0.567
GENE_0022,GENE_0030,0.467
GENE_0061,GENE_0079,0.647
GENE_0040,GENE_0039,0.615
GENE_0091,GENE_0048,0.596
GENE_0035,GENE_0060,0.662
GENE_0038,GENE_0021,0.943
GENE_0078,GENE_0005,0.428
